index,Date,close,high,low,open,volumefrom,volumeto,cRSI,MACD,MACD_Signal,candlestick_pattern,candlestick_match_count
530,2020-06-26,9158.07,9289.32,9041.42,9241.32,40519.91,371373315.29,20.21,-23.15257505338741,22.571509987328316,,
531,2020-06-27,9007.14,9190.27,8867.34,9158.07,28152.32,254990739.33,14.2,-51.58034801549911,7.741138386762831,,
532,2020-06-28,9120.39,9189.74,8946.05,9007.14,19775.94,179558602.81,64.24,-64.23082144147884,-6.6532535788855025,,
533,2020-06-29,9187.07,9234.33,9026.42,9120.39,31119.19,283764928.26,66.45,-68.09098356791219,-18.940799576690843,,
534,2020-06-30,9136.47,9200.99,9068.77,9187.07,23376.63,213905502.74,40.35,-74.37582872602434,-30.02780540655754,,
535,2020-07-01,9238.89,9299.67,9097.33,9136.47,29846.4,274835041.39,64.64,-70.2820085082949,-38.07864602690501,,
536,2020-07-02,9092.8,9267.84,8954.67,9238.89,37657.49,343433369.43,31.75,-77.92756806980833,-46.04843043548568,,
537,2020-07-03,9066.46,9127.05,9047.38,9092.8,21807.46,198428092.21,32.82,-85.13081196478561,-53.86490674134566,,
538,2020-07-04,9142.2,9195.91,9052.4,9066.46,16185.04,147598290.89,63.27,-83.76229009373128,-59.84438341182279,,
539,2020-07-05,9081.44,9152.87,8935.9,9142.2,17548.22,159006413.09,38.63,-86.5824819030895,-65.19200311007614,,
540,2020-07-06,9347.05,9372.09,9067.64,9081.44,36844.23,340664721.17,76.55,-66.61707683175337,-65.4770178544116,,
541,2020-07-07,9257.32,9378.69,9208.31,9347.05,25836.94,239497399.36,40.26,-57.3734452022818,-63.85630332398564,,
542,2020-07-08,9439.2,9471.65,9236.9,9257.32,37422.23,350318105.76,73.21,-34.968509364920465,-58.07874453217261,,
543,2020-07-09,9238.95,9441.67,9171.37,9439.2,30177.18,280648694.08,30.85,-32.990642149154155,-53.06112405556892,,
544,2020-07-10,9288.57,9317.31,9128.71,9238.95,24422.31,224680670.05,58.32,-27.106778750487138,-47.87025499455256,,
545,2020-07-11,9237.13,9302.22,9188.13,9288.57,11785.42,108899834.63,39.22,-26.291480888277874,-43.554500173297626,,
546,2020-07-12,9300.95,9339.99,9169.13,9237.13,16385.5,151649367.79,61.22,-20.262042610042045,-38.89600866064651,,
547,2020-07-13,9237.89,9336.42,9201.18,9300.95,25872.33,240081841.21,37.43,-20.33764461301871,-35.18433585112095,,
548,2020-07-14,9256.07,9279.57,9109.7,9237.89,25865.27,238308476.7,54.85,-18.714852511498975,-31.890439183196555,,
549,2020-07-15,9193.22,9272.57,9160.89,9256.07,23480.12,216386874.26,33.53,-22.243834739521844,-29.961118294461613,,
